"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 23:43:26 IST 2024","Thu Feb 08 23:43:44 IST 2024","18302","testCases","test_userlogin","Test_UserLogin","","","test_user_login_02",""
"passed","Thu Feb 08 23:43:26 IST 2024","Thu Feb 08 23:43:26 IST 2024","369","testCases","test_userlogin","Test_UserLogin","","","test_verify_site_01",""
